CD_UNID;NOME_UNID;CS_TT_MAQUINA;DESCR_MAQUINA;CD_MAQUINA;CD_SETORMANUT;DESCR_SETORMANUT;CD_PRIOMAQUTV;NRO_PATRIMONIO;CD_MODELO;CD_GRUPO;CD_TPCENTATIV;DESCR_GERENC
92;FRIG. AURORA CASTRO;4228;SEPARADOR DE LIQUIDO -10 GRAUS - AGUA RESFRIADA 15 GRAUS - IND (SEP1701000009);99986010;GEF;SETOR DE OPERACAO DE FRIO     ;6;;9999;22004;1210;MÁQUINAS PRINCIPAL
92;FRIG. AURORA CASTRO;4228;SEPARADOR DE LIQUIDO -10 GRAUS - AGUA RESFRIADA 2 GRAUS - IND (SEP1701000008);99986011;GEF;SETOR DE OPERACAO DE FRIO     ;6;;9999;22004;1210;MÁQUINAS PRINCIPAL
92;FRIG. AURORA CASTRO;4228;SEPARADOR DE LIQUIDO -10 GRAUS - INDUSTRIALIZADOS (SEP1701000007);99986015;GEF;SETOR DE OPERACAO DE FRIO     ;6;;9999;22004;1210;MÁQUINAS PRINCIPAL
92;FRIG. AURORA CASTRO;4228;SEPARADOR DE LIQUIDO -15 GRAUS - SALA DE MAQUINAS (SEP1701000003);99986029;GEF;SETOR DE OPERACAO DE FRIO     ;6;;9999;22004;1210;MÁQUINAS PRINCIPAL
92;FRIG. AURORA CASTRO;4228;SEPARADOR DE LIQUIDO -35 GRAUS - SALA DE MAQUINAS (SEP1701000002);99986032;GEF;SETOR DE OPERACAO DE FRIO     ;6;;9999;22004;1210;MÁQUINAS PRINCIPAL
92;FRIG. AURORA CASTRO;4228;SEPARADOR DE LIQUIDO -35 GRAUS - TCA/EST (SEP1701000006);99986017;GEF;SETOR DE OPERACAO DE FRIO     ;6;;9999;22004;1210;MÁQUINAS PRINCIPAL
92;FRIG. AURORA CASTRO;4228;SEPARADOR DE LÍQUIDO -5°C SL06;99986023;GEF;SETOR DE OPERACAO DE FRIO     ;8;253353;9999;22004;1210;MÁQUINAS PRINCIPAL
92;FRIG. AURORA CASTRO;4228;SEPARADOR DE LÍQUIDO -5°C SL06 - BOMBA 01;99994446;GEF;SETOR DE OPERACAO DE FRIO     ;6;253354;9999;22009;1210;MÁQUINAS PRINCIPAL
92;FRIG. AURORA CASTRO;4228;SEPARADOR DE LÍQUIDO -5°C SL06 - BOMBA 01 - MOTOR;99994447;GEF;SETOR DE OPERACAO DE FRIO     ;6;253354;9999;19000;1210;MÁQUINAS SECUNDÁRIAS
92;FRIG. AURORA CASTRO;4228;SEPARADOR DE LÍQUIDO -5°C SL06 - BOMBA 02;99994448;GEF;SETOR DE OPERACAO DE FRIO     ;6;253355;9999;22009;1210;MÁQUINAS PRINCIPAL
92;FRIG. AURORA CASTRO;4228;SEPARADOR DE LÍQUIDO -5°C SL06 - BOMBA 02 - MOTOR;99994449;GEF;SETOR DE OPERACAO DE FRIO     ;6;253355;9999;19000;1210;MÁQUINAS SECUNDÁRIAS
92;FRIG. AURORA CASTRO;4228;SEPARADOR DE LÍQUIDO -5°C SL06 - BOMBA 03;99994450;GEF;SETOR DE OPERACAO DE FRIO     ;6;253356;9999;22009;1210;MÁQUINAS PRINCIPAL
92;FRIG. AURORA CASTRO;4228;SEPARADOR DE LÍQUIDO -5°C SL06 - BOMBA 03 - MOTOR;99994451;GEF;SETOR DE OPERACAO DE FRIO     ;6;253356;9999;22009;1210;MÁQUINAS SECUNDÁRIAS
92;FRIG. AURORA CASTRO;4228;SEPARADOR DE SOLUCAO - SS (SEP1701000010);99986008;GEF;SETOR DE OPERACAO DE FRIO     ;6;;9999;22004;1210;MÁQUINAS PRINCIPAL
92;FRIG. AURORA CASTRO;4228;SEPARADORA SEPAMATIC 1400 ST/SF;99998436;CMS;SETOR PRODUCAO CMS            ;6;0;9999;16010;4120;OUTROS
